beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,eta
0.4,0.4,-6.303263819801991,-6.303263819801991,0.0,-5.918509953505572,-5.9185099535055725,0.2641290514221311,0.2641290514221311,0.000504698680991,0.000504698680991,0.1533968478375767,0.1533968478375767,3,-6.303263819801991
0.4,0.5241379310344828,-5.892633150020896,-8.865833655600326,1.7165781122510162,-5.892633150020896,-5.648468509708779,36.84136148790464,9.730251093279394,6.918312149607695e-17,0.2723970373889472,0.0,1.329409061957639,4,-5.892633150020896
0.4,0.6482758620689655,-6.544438344287695,-10.606479515330674,3.3166427277442496,-6.544438344287695,-5.8523161042302885,36.84136148790464,15.152473172204438,0.0,0.3713338218571846,0.0,2.480192500048262,5,-6.544438344287695
0.4,0.7724137931034483,-6.544438344287695,-26.68239568623369,16.442573316567298,-6.544438344287695,-5.839469705854794,36.84136148790464,15.013816890354835,0.0,0.4158748854324878,0.0,15.296294771595438,5,-6.544438344287695
0.4,0.896551724137931,-6.544438344287695,-31.53457994283311,20.404365172112065,-6.544438344287695,-5.839520040855774,36.84136148790464,15.01384373609252,0.0,0.4158748855672194,0.0,22.104816892742807,5,-6.544438344287695
0.4,1.0206896551724138,-6.544438344287695,-28.67596818326324,17.785892577776256,-6.544438344287695,-5.979534689293272,36.84136148790464,15.152473172204449,0.0,0.4158748855672195,0.0,22.10481689274265,5,-6.544438344287695
0.4,1.1448275862068966,-6.544438344287695,-26.32764629747448,15.86866227094871,-6.544438344287695,-5.979534689293272,36.84136148790464,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5,-6.544438344287695
0.4,1.2689655172413792,-6.544438344287695,-24.438778693687865,14.32657457763324,-6.544438344287695,-5.979534689293272,36.84136148790464,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5,-6.544438344287695
0.4,1.3931034482758622,-6.544438344287695,-7.104496938037693,0.2800292968749993,-6.544438344287695,-7.104496938037693,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.544438344287695
0.4,1.5172413793103448,-6.544438344287695,-7.104496938037694,0.2800292968749998,-6.544438344287695,-7.104496938037694,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-6.544438344287695
0.4,1.6413793103448278,-6.544438344287695,-20.486442279041928,11.10000272784588,-6.544438344287695,-5.979534689293272,36.84136148790464,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5,-6.544438344287695
0.4,1.7655172413793103,-6.544438344287695,-6.6844529927251966,0.2800292968749976,-6.544438344287695,-6.6844529927251966,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.544438344287695
0.4,1.8896551724137929,-7.244511586475193,-18.85704111167695,9.481590653249503,-7.244511586475193,-6.119549337730772,36.84136148790464,15.152473172204438,0.0,0.4158748855672194,0.0,22.104816892742807,5,-7.244511586475193
0.4,2.013793103448276,-7.244511586475193,-18.13594357030535,8.892816976204205,-7.244511586475193,-6.119549337730772,36.84136148790464,15.152473172204438,0.0,0.4158748855672194,0.0,22.104816892742807,5,-7.244511586475193
0.4,2.1379310344827585,-7.244511586475193,-7.244511586475194,8.881784197001252e-16,-7.244511586475193,-7.244511586475194,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-7.244511586475193
0.4,2.262068965517241,-7.244511586475193,-16.93118304386737,7.909134125530905,-7.244511586475193,-6.119549337730772,36.84136148790464,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5,-7.244511586475193
0.4,2.386206896551724,-7.244511586475193,-16.422815885312648,7.494054078715032,-7.244511586475193,-6.119549337730772,36.84136148790464,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5,-7.244511586475193
0.4,2.5103448275862066,-7.244511586475193,-15.964726797384282,7.120025904661219,-7.244511586475193,-6.119549337730772,36.84136148790464,15.152473172204438,0.0,0.4158748855672194,0.0,22.104816892742807,5,-7.244511586475193
0.4,2.6344827586206896,-7.244511586475193,-7.244511586475194,8.881784197001252e-16,-7.244511586475193,-7.244511586475194,36.84136148790464,36.84136148790464,0.0,0.0,0.0,0.0,5,-7.244511586475193
0.4,2.758620689655172,-7.244511586475185,-7.244511586475189,3.932133484805905e-15,-7.244511586475185,-7.244511586475189,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5,-7.244511586475185
0.4,2.882758620689655,-7.244511586475193,-7.244511586475196,2.664535259100376e-15,-7.244511586475193,-7.244511586475196,36.84136148790464,36.42547317956888,0.0,0.0,0.0,0.0,5,-7.244511586475193
0.4,3.0068965517241377,-6.5444383442877,-6.824467641162698,0.3429644451870459,-6.5444383442877,-6.824467641162698,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5,-6.5444383442877
